4	8	79
6	7	81
5	4	81
7	4	82
9	4	82
8	2	84
6	1	85
6	0	87
5	-2	88
5	-2	90
3	-1	92
5	-1	94
7	-3	95
8	-3	98
6	-2	99
8	-2	101
10	-2	103
8	-1	105
7	-1	107
9	-2	107
11	-1	109
14	-1	110
15	-3	110
15	-6	111
12	-6	112
10	-6	113
10	-4	114
8	-4	116
9	-6	116
10	-8	115
12	-8	117
11	-10	117
9	-8	117
7	-10	117
7	-8	115
9	-10	115
10	-10	113
10	-12	111
12	-13	111
11	-15	110
4	25	79
3	25	82
5	24	82
3	23	83
2	25	85
2	23	86
0	24	88
1	25	90
3	25	92
1	25	92
3	27	92
5	28	92
5	26	92
4	27	90
6	26	88
7	24	89
7	22	91
8	24	93
10	25	92
12	27	91
12	25	91
13	23	91
15	24	91
15	22	89
15	20	89
16	17	89
14	15	89
12	13	89
11	13	91
10	15	90
12	15	90
14	13	89
13	12	87
14	10	85
16	12	84
17	10	82
19	12	82
20	12	84
21	14	84
21	16	84
12	3	79
13	3	82
14	5	84
14	7	86
13	9	86
11	10	86
11	11	89
11	10	92
11	8	94
12	10	94
14	9	96
12	9	97
10	10	98
8	10	98
6	8	98
4	10	98
6	10	97
6	9	100
8	10	100
9	10	103
9	9	105
9	12	106
7	11	107
9	12	108
10	14	108
9	16	107
11	17	105
10	15	105
9	17	105
9	20	104
9	19	106
7	18	108
5	18	110
7	18	110
7	21	111
7	22	113
5	24	112
4	26	111
4	27	113
2	29	114
12	20	79
13	20	82
14	18	84
12	18	84
11	16	83
9	18	84
9	18	86
7	19	88
6	20	90
3	20	90
4	18	90
4	19	92
3	20	94
2	21	96
4	22	94
5	19	94
5	17	93
7	16	93
7	16	95
7	15	98
9	16	99
8	18	99
10	18	97
10	18	99
9	18	101
7	18	102
4	18	102
4	20	100
2	19	102
3	20	104
4	19	106
3	21	106
5	21	106
3	20	108
5	20	110
6	22	108
7	23	106
5	22	104
7	22	103
7	24	102
20	8	79
20	6	81
22	6	82
24	8	83
26	8	85
25	8	87
25	6	89
25	8	89
23	9	91
21	11	91
22	9	93
22	11	93
24	12	93
24	13	95
24	12	98
24	14	98
24	16	98
23	16	100
24	14	102
24	14	104
26	15	102
24	16	102
26	17	100
28	16	102
28	16	104
31	16	105
30	16	108
29	17	110
29	17	112
30	19	112
31	19	114
29	19	116
27	21	116
27	21	119
26	19	120
24	18	121
26	19	122
27	17	121
25	17	123
23	17	123
20	25	79
21	23	81
22	23	83
21	21	82
23	21	84
25	21	86
26	19	88
24	18	89
25	20	90
23	20	90
24	22	91
23	22	89
23	24	88
21	24	90
20	25	92
20	23	92
18	22	93
17	24	95
17	24	98
17	22	98
15	23	100
15	23	102
15	21	101
13	21	100
11	21	98
9	21	99
7	23	100
5	23	100
4	24	102
4	24	104
6	25	103
8	26	104
8	24	105
10	26	104
10	29	105
10	28	103
12	29	101
10	31	102
10	32	100
8	34	99
28	13	79
27	11	81
27	11	83
29	11	85
29	14	86
31	14	86
31	11	86
31	9	88
32	7	87
33	9	88
32	9	90
31	11	92
33	11	91
35	11	91
37	11	92
38	11	94
39	12	96
40	12	94
42	14	94
42	13	96
44	15	95
44	14	93
42	12	94
44	12	93
46	13	94
47	12	96
49	12	96
48	12	98
48	14	97
49	16	95
48	14	93
49	14	95
51	14	96
51	14	94
53	13	94
54	13	96
52	12	97
52	10	96
50	10	96
49	10	93
28	30	79
30	29	81
28	28	82
27	27	84
26	24	84
27	22	82
28	24	83
30	24	84
30	26	86
28	27	87
25	27	87
26	27	90
28	27	89
30	27	91
29	29	91
29	27	93
28	26	91
27	24	93
28	21	93
27	22	91
25	23	93
23	23	95
25	22	97
26	20	99
24	18	99
22	19	100
22	20	98
20	19	98
19	17	98
19	17	96
17	16	95
15	17	97
17	19	98
15	19	97
13	21	97
12	23	98
13	23	100
14	21	99
15	22	101
14	24	102
